rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,irrigation_type,season,rice_variety,region,yield_ton_per_ha
1184.8,28.1,24.0,32.9,7.67,68.8,52.5,58.6,307.2,Rainfed,Kharif,IR64,West Bengal,5.92
92.9,25.6,17.8,32.8,4.99,73.1,6.8,19.6,157.1,Rainfed,Kharif,Basmati,Punjab,0.04
1215.1,29.0,21.3,39.0,5.09,27.7,94.2,14.8,158.0,Rainfed,Rabi,Swarna,West Bengal,3.45
341.0,26.1,22.2,33.5,5.7,28.9,94.5,2.8,303.1,Borewell,Rabi,MTU1010,West Bengal,3.56
130.1,33.6,29.9,37.6,6.22,26.7,23.7,127.6,183.9,Borewell,Kharif,Swarna,Tamil Nadu,0.06
1897.8,29.8,24.7,39.4,7.74,93.9,98.8,141.6,29.0,Rainfed,Rabi,MTU1010,Punjab,0.01
1931.3,35.8,32.5,41.2,7.67,121.4,18.9,77.2,98.7,Rainfed,Rabi,IR64,Andhra Pradesh,5.41
1616.8,29.8,23.5,37.9,7.55,106.3,18.2,83.2,357.8,Rainfed,Kharif,Swarna,Andhra Pradesh,7.16
609.2,24.3,20.9,31.4,5.28,176.0,97.1,110.7,236.8,Rainfed,Rabi,Swarna,Andhra Pradesh,6.02
195.3,35.3,32.0,41.3,7.05,22.7,34.8,112.1,344.9,Borewell,Kharif,Swarna,Andhra Pradesh,0.02
1368.5,30.0,24.6,35.7,5.84,177.6,9.2,51.9,122.1,Canal,Kharif,Swarna,Andhra Pradesh,9.52
880.3,23.7,15.9,33.3,7.76,84.0,114.8,25.5,275.6,Borewell,Rabi,IR64,Punjab,4.94
244.1,31.2,26.1,40.7,5.25,39.4,66.8,68.9,314.1,Borewell,Kharif,Swarna,West Bengal,0.49
990.4,26.4,21.7,33.5,4.99,169.8,53.8,111.5,73.2,Rainfed,Kharif,MTU1010,Tamil Nadu,7.06
68.8,35.2,27.2,40.8,7.45,84.4,60.5,128.7,9.3,Canal,Kharif,MTU1010,West Bengal,0.08
1818.6,28.2,22.5,32.8,7.01,62.5,80.5,14.3,253.8,Canal,Kharif,IR64,West Bengal,8.99
517.6,33.1,28.2,38.0,7.37,38.5,103.4,94.1,230.8,Canal,Rabi,Basmati,West Bengal,6.43
1325.0,21.7,16.8,28.9,5.05,48.2,80.7,8.7,15.9,Rainfed,Kharif,IR64,Punjab,0.13
623.4,27.1,23.2,33.0,7.6,176.3,88.7,132.0,164.3,Borewell,Rabi,MTU1010,Andhra Pradesh,6.2
1040.1,37.7,32.1,42.0,6.87,54.7,21.6,106.7,225.4,Canal,Kharif,IR64,West Bengal,6.43
1093.4,34.6,29.4,41.3,6.78,176.0,46.1,111.5,84.8,Rainfed,Kharif,Basmati,West Bengal,7.56
369.7,22.9,18.5,31.4,6.54,59.4,70.2,121.9,38.6,Canal,Kharif,Swarna,West Bengal,0.84
1939.2,25.0,21.2,34.3,7.18,41.7,74.3,79.3,320.5,Rainfed,Kharif,Basmati,Tamil Nadu,9.82
1550.3,25.9,21.4,33.4,5.95,33.0,32.5,47.8,370.0,Canal,Kharif,Swarna,Andhra Pradesh,8.5
1879.0,31.7,26.2,40.0,4.96,74.1,117.0,125.7,179.0,Rainfed,Kharif,Basmati,Andhra Pradesh,5.83
1789.7,33.6,30.3,39.8,6.39,42.6,14.2,124.4,53.6,Rainfed,Rabi,IR64,West Bengal,7.65
1195.8,33.5,29.7,40.5,7.12,125.4,13.5,21.6,168.5,Rainfed,Kharif,MTU1010,West Bengal,5.99
1843.7,29.2,21.4,37.6,5.04,43.2,27.5,144.4,111.7,Borewell,Kharif,IR64,Andhra Pradesh,8.06
177.0,34.6,28.9,43.0,5.28,150.4,90.5,35.4,196.2,Borewell,Rabi,Basmati,Punjab,0.85
392.0,27.9,24.6,34.4,6.94,150.1,4.4,49.0,3.6,Borewell,Rabi,Swarna,Tamil Nadu,0.98
90.5,22.2,15.8,29.5,5.44,51.4,118.5,34.5,346.8,Canal,Kharif,Swarna,Tamil Nadu,0.04
650.7,30.2,26.9,39.7,5.09,135.6,118.5,154.5,23.2,Borewell,Kharif,MTU1010,Punjab,0.71
777.4,37.1,30.4,44.9,7.61,154.4,19.2,47.9,171.9,Rainfed,Rabi,Basmati,Andhra Pradesh,4.3
542.7,34.3,27.5,42.1,5.06,106.2,48.1,155.4,264.5,Borewell,Kharif,Basmati,Tamil Nadu,5.09
1657.5,30.4,24.2,39.1,5.7,65.9,24.5,102.1,260.5,Canal,Kharif,IR64,West Bengal,9.53
713.5,31.6,25.0,36.3,6.0,79.4,49.0,28.3,119.3,Canal,Kharif,Swarna,West Bengal,6.21
561.9,36.8,33.3,43.9,6.17,141.5,63.9,88.6,199.8,Rainfed,Rabi,MTU1010,Andhra Pradesh,5.4
1085.4,27.7,21.1,37.5,5.76,52.8,98.7,141.2,198.8,Canal,Kharif,Swarna,West Bengal,9.19
281.8,26.0,22.3,32.1,7.69,60.2,4.3,89.9,52.5,Rainfed,Kharif,Swarna,West Bengal,3.35
1604.4,37.6,32.9,43.4,6.81,28.9,118.4,21.2,149.0,Canal,Kharif,Basmati,Andhra Pradesh,6.38
149.1,35.5,27.8,43.1,5.76,71.8,112.9,45.9,47.7,Borewell,Kharif,IR64,West Bengal,0.81
1973.8,25.8,20.3,31.1,5.75,15.6,68.5,36.0,22.8,Canal,Kharif,Basmati,Tamil Nadu,0.39
1544.5,28.3,20.5,35.7,6.26,57.8,57.7,20.1,22.3,Canal,Rabi,Basmati,Andhra Pradesh,0.45
397.4,27.5,24.0,32.4,4.62,67.2,66.1,52.4,174.0,Rainfed,Rabi,IR64,Tamil Nadu,3.23
11.0,22.7,17.3,30.2,7.74,46.0,2.2,105.8,291.8,Borewell,Kharif,MTU1010,West Bengal,1.17
1630.9,37.2,33.9,44.9,5.28,18.2,88.5,61.2,393.8,Borewell,Kharif,IR64,West Bengal,5.17
1413.7,27.3,21.1,33.8,6.94,93.9,59.6,71.0,228.5,Rainfed,Kharif,IR64,Tamil Nadu,8.58
1458.0,35.8,32.4,42.1,7.22,155.7,34.3,51.3,119.7,Canal,Kharif,Swarna,Punjab,7.57
1542.5,23.4,19.5,28.9,7.4,60.4,55.4,159.1,82.8,Canal,Kharif,MTU1010,Punjab,10.49
148.1,29.9,25.6,35.8,5.08,42.6,35.1,93.8,277.9,Borewell,Kharif,IR64,Punjab,0.73
716.9,20.4,13.7,27.4,6.38,51.3,84.0,133.4,20.7,Canal,Kharif,Swarna,Andhra Pradesh,0.6
231.7,33.8,29.9,39.2,4.79,155.1,73.7,70.6,104.9,Rainfed,Rabi,MTU1010,Tamil Nadu,0.92
1726.2,30.5,23.2,39.2,7.32,95.0,46.6,27.0,275.4,Rainfed,Kharif,MTU1010,Punjab,9.01
1246.6,31.3,27.6,39.5,6.2,23.5,37.7,135.5,178.0,Canal,Kharif,MTU1010,Tamil Nadu,8.44
661.8,20.9,17.8,26.5,5.05,127.7,105.4,122.1,200.1,Rainfed,Kharif,Basmati,Tamil Nadu,6.57
127.1,23.8,18.8,28.4,7.02,27.8,81.9,52.8,390.2,Borewell,Rabi,MTU1010,Tamil Nadu,0.06
622.0,21.3,13.4,25.3,5.66,10.8,85.9,97.0,161.8,Canal,Kharif,Swarna,West Bengal,6.24
650.4,25.2,21.6,32.8,4.9,46.0,74.2,15.0,238.1,Rainfed,Kharif,IR64,Punjab,4.83
1459.2,31.3,27.8,36.6,6.11,30.3,9.0,4.2,399.4,Borewell,Kharif,Basmati,Punjab,6.93
1275.1,30.2,23.4,34.3,5.32,108.9,7.1,130.5,274.5,Canal,Rabi,MTU1010,West Bengal,7.06
1774.4,31.0,26.5,37.2,7.83,87.2,51.5,150.7,205.8,Canal,Kharif,Swarna,West Bengal,8.43
944.4,29.9,23.3,39.7,5.76,130.3,111.7,55.0,129.6,Borewell,Kharif,Basmati,West Bengal,8.28
239.2,24.9,20.9,33.1,6.5,92.1,63.0,95.6,390.6,Canal,Rabi,IR64,West Bengal,0.32
1426.5,24.4,19.1,33.5,7.82,75.4,105.1,114.8,117.5,Borewell,Kharif,Swarna,Tamil Nadu,7.3
1521.6,22.5,18.1,27.3,5.88,94.7,11.6,119.4,46.3,Rainfed,Kharif,IR64,Tamil Nadu,8.78
1122.6,35.3,30.0,39.7,5.75,78.2,86.9,77.0,370.3,Rainfed,Kharif,Basmati,Punjab,8.14
1541.9,31.1,24.3,35.2,5.07,6.7,29.4,98.1,127.6,Borewell,Kharif,IR64,Tamil Nadu,6.1
987.6,23.4,16.5,33.1,7.78,122.5,62.9,105.1,235.6,Canal,Kharif,Swarna,Tamil Nadu,6.63
1045.5,23.2,17.6,29.0,7.3,173.2,35.2,16.5,258.4,Canal,Kharif,MTU1010,West Bengal,8.48
855.1,35.7,28.1,42.5,5.27,76.0,85.5,103.2,104.4,Canal,Kharif,Basmati,Punjab,5.01
50.8,33.4,29.1,39.7,5.66,76.3,48.1,81.7,169.4,Canal,Rabi,MTU1010,Punjab,0.97
215.8,31.9,27.7,40.3,7.7,8.2,55.5,60.6,62.2,Rainfed,Kharif,Swarna,Punjab,0.19
62.9,27.3,21.3,33.2,6.38,160.3,29.4,41.9,353.8,Rainfed,Kharif,Basmati,West Bengal,0.12
1272.8,24.7,18.6,31.9,6.45,167.2,33.8,102.1,233.8,Borewell,Kharif,IR64,West Bengal,10.06
628.7,37.6,34.4,47.6,6.77,146.4,21.5,26.7,356.1,Rainfed,Kharif,Swarna,West Bengal,5.14
1017.1,34.4,28.3,41.0,7.17,19.1,66.5,129.7,102.8,Rainfed,Kharif,MTU1010,Andhra Pradesh,5.63
1815.1,25.4,20.6,32.7,7.79,162.0,17.4,27.5,253.6,Borewell,Kharif,MTU1010,Tamil Nadu,7.71
498.6,35.3,28.5,42.3,7.31,4.3,32.2,123.5,87.2,Borewell,Kharif,IR64,Andhra Pradesh,4.42
820.8,33.7,26.6,42.5,7.77,80.0,63.7,130.8,115.6,Canal,Rabi,Swarna,Tamil Nadu,4.77
1511.1,25.3,19.6,30.9,7.37,90.1,33.0,150.3,144.5,Canal,Kharif,IR64,Andhra Pradesh,10.54
457.6,27.7,24.7,32.7,4.66,150.1,70.6,74.1,219.8,Borewell,Rabi,Basmati,West Bengal,5.54
154.0,23.3,17.2,31.9,4.91,135.2,1.7,10.2,222.3,Rainfed,Kharif,Basmati,Tamil Nadu,0.21
579.5,22.0,15.3,28.5,7.6,143.5,116.8,108.4,80.1,Canal,Kharif,Basmati,Tamil Nadu,7.17
322.4,33.0,28.8,42.5,4.6,156.2,87.6,45.2,18.4,Borewell,Kharif,IR64,Andhra Pradesh,0.43
1859.4,24.8,19.5,32.7,7.28,85.7,60.5,14.8,308.8,Canal,Rabi,IR64,Andhra Pradesh,9.59
1616.2,34.8,26.9,42.1,7.47,140.4,110.5,136.9,210.4,Canal,Kharif,Swarna,West Bengal,9.24
1266.8,37.9,33.4,42.3,5.95,12.2,104.4,22.4,125.3,Borewell,Rabi,MTU1010,Andhra Pradesh,4.39
1742.9,21.4,17.3,29.8,5.74,80.0,44.0,81.0,21.1,Rainfed,Kharif,Basmati,Tamil Nadu,0.21
1607.3,28.5,24.5,36.6,5.18,5.4,13.9,126.2,41.8,Canal,Kharif,Swarna,West Bengal,6.29
373.1,34.4,28.6,42.3,4.67,164.8,30.3,31.9,169.4,Rainfed,Rabi,Swarna,West Bengal,2.6
1785.1,34.2,26.5,39.8,7.11,172.5,25.0,143.5,193.5,Rainfed,Kharif,MTU1010,Tamil Nadu,11.34
1078.7,33.7,27.6,43.4,4.76,15.1,90.0,53.1,151.0,Borewell,Kharif,IR64,Tamil Nadu,4.33
1614.9,26.3,21.8,32.2,7.81,95.9,65.8,63.4,226.6,Borewell,Kharif,MTU1010,Punjab,7.04
1792.2,28.2,22.0,33.1,5.54,58.5,102.0,21.0,325.6,Rainfed,Kharif,Basmati,Punjab,9.01
636.0,30.7,24.6,40.6,7.28,61.7,58.8,103.1,270.9,Canal,Rabi,Basmati,Tamil Nadu,5.1
220.1,37.5,31.5,46.0,4.71,81.1,92.4,79.3,346.8,Rainfed,Kharif,Basmati,Andhra Pradesh,0.48
455.9,25.9,22.1,32.4,6.38,22.5,38.8,155.9,246.3,Rainfed,Kharif,Swarna,Tamil Nadu,6.17
854.2,36.6,30.4,46.2,5.72,32.5,72.3,111.7,42.0,Rainfed,Rabi,MTU1010,Punjab,4.35
1636.0,24.8,19.7,29.4,4.61,103.9,76.7,121.4,60.0,Rainfed,Rabi,IR64,Tamil Nadu,6.94
1721.5,37.8,34.7,42.3,6.8,3.4,91.1,31.9,156.2,Canal,Kharif,Basmati,Punjab,6.46
13.9,32.1,26.4,40.2,7.8,108.0,95.9,114.0,113.6,Borewell,Kharif,IR64,Andhra Pradesh,1.0
1021.5,28.3,20.4,33.4,4.54,57.4,33.2,89.2,260.9,Canal,Rabi,Basmati,Tamil Nadu,5.12
834.8,31.0,26.3,40.5,5.45,149.8,46.2,64.6,250.3,Borewell,Rabi,Swarna,West Bengal,5.09
444.2,24.9,17.1,33.9,6.96,108.0,24.9,125.2,185.0,Rainfed,Kharif,Swarna,Punjab,6.51
239.7,24.9,21.5,30.8,7.55,127.5,89.7,156.6,257.5,Canal,Kharif,Basmati,Andhra Pradesh,0.43
675.2,22.0,15.4,31.4,5.17,20.6,32.5,15.2,364.5,Borewell,Kharif,Swarna,Andhra Pradesh,3.53
1885.8,22.1,18.5,26.3,4.75,47.9,46.9,126.2,196.7,Rainfed,Kharif,IR64,Tamil Nadu,7.32
646.4,26.3,21.9,33.5,4.53,179.4,96.4,147.1,138.9,Canal,Kharif,Swarna,Andhra Pradesh,7.75
1037.6,33.7,27.9,43.3,5.25,78.1,40.8,50.4,190.5,Rainfed,Kharif,MTU1010,Punjab,4.3
1406.0,30.9,25.0,40.1,4.75,64.6,35.0,58.1,58.0,Borewell,Rabi,Basmati,Tamil Nadu,4.07
727.3,21.8,15.0,28.0,5.76,157.3,78.1,127.2,39.0,Canal,Kharif,MTU1010,Tamil Nadu,0.33
1943.6,35.3,29.3,40.4,6.04,6.0,117.0,152.6,164.2,Canal,Kharif,MTU1010,West Bengal,8.25
1924.9,30.8,24.9,36.1,6.18,96.3,7.5,150.2,369.4,Borewell,Kharif,Basmati,Andhra Pradesh,11.09
503.6,37.3,29.7,44.4,5.0,37.8,100.2,8.9,345.2,Canal,Kharif,Basmati,Tamil Nadu,3.73
994.5,32.1,26.8,39.6,6.12,66.3,14.6,139.4,271.3,Rainfed,Kharif,Swarna,Punjab,7.19
601.8,23.2,19.0,27.4,4.53,36.0,41.4,93.8,287.6,Rainfed,Kharif,Swarna,Punjab,4.46
569.7,28.5,24.7,35.0,5.34,6.8,50.0,67.4,344.2,Canal,Kharif,MTU1010,Tamil Nadu,4.78
73.8,31.7,26.7,40.7,5.79,75.0,86.2,135.3,366.2,Canal,Kharif,MTU1010,Tamil Nadu,1.16
1219.1,20.5,13.9,27.2,4.91,142.1,111.2,128.1,263.8,Borewell,Rabi,MTU1010,Andhra Pradesh,7.56
1005.4,20.3,17.1,25.3,7.35,171.4,12.2,81.5,154.4,Canal,Rabi,Swarna,West Bengal,9.17
103.0,22.3,18.7,32.1,5.2,112.3,89.4,65.7,59.0,Canal,Kharif,MTU1010,Punjab,0.22
557.3,24.5,21.0,30.1,7.14,70.0,38.7,75.6,2.8,Rainfed,Kharif,IR64,Andhra Pradesh,0.9
1816.5,27.7,21.8,36.5,6.16,138.6,108.2,50.9,259.2,Rainfed,Kharif,Basmati,West Bengal,11.51
479.1,28.8,24.6,33.9,6.18,90.9,33.4,108.9,159.1,Rainfed,Kharif,Swarna,Punjab,5.85
289.8,22.5,18.7,29.0,6.76,66.2,83.3,142.7,31.9,Canal,Rabi,IR64,Punjab,0.07
978.9,32.1,26.2,39.1,4.65,32.2,19.8,40.1,111.5,Canal,Kharif,Basmati,West Bengal,4.65
1971.3,30.7,23.9,37.7,4.78,143.3,115.0,132.1,187.5,Canal,Kharif,IR64,Tamil Nadu,9.9
484.1,25.3,20.6,32.4,5.64,90.1,0.5,57.7,313.4,Borewell,Rabi,Swarna,Tamil Nadu,4.94
1344.3,20.2,14.4,25.6,5.96,173.5,27.9,21.1,125.9,Canal,Kharif,Swarna,Tamil Nadu,9.67
1523.2,21.4,17.9,28.5,6.0,144.3,81.1,6.5,262.5,Rainfed,Rabi,Basmati,West Bengal,8.3
475.3,27.1,19.4,33.9,6.87,75.6,102.4,76.7,17.3,Canal,Rabi,Swarna,Tamil Nadu,0.46
1456.4,22.8,18.1,28.0,4.5,133.4,119.2,90.9,385.0,Borewell,Rabi,Swarna,Tamil Nadu,8.19
735.6,26.8,18.8,36.7,7.86,81.6,20.8,1.0,388.7,Rainfed,Rabi,Basmati,Tamil Nadu,3.61
1264.6,31.3,23.4,40.5,5.11,14.4,36.9,104.4,211.3,Borewell,Rabi,MTU1010,Andhra Pradesh,3.36
1267.1,29.9,23.0,39.2,5.37,93.0,107.0,83.0,263.0,Rainfed,Rabi,IR64,Tamil Nadu,5.89
1071.5,24.2,21.1,32.3,7.67,155.8,3.9,159.6,305.8,Canal,Kharif,Swarna,West Bengal,8.16
180.6,26.2,20.5,31.1,4.52,154.0,88.0,16.7,388.2,Canal,Kharif,Swarna,Punjab,1.11
1670.6,31.1,27.6,38.5,7.97,103.5,50.8,112.8,217.8,Canal,Kharif,IR64,Tamil Nadu,8.3
641.6,35.5,28.0,44.4,4.63,68.4,82.7,34.7,302.1,Borewell,Rabi,Swarna,Tamil Nadu,3.5
373.0,33.6,26.6,37.8,4.92,1.8,63.0,33.0,76.9,Canal,Kharif,IR64,Tamil Nadu,3.61
81.6,30.0,22.1,36.9,5.34,56.1,75.3,3.0,61.6,Rainfed,Kharif,IR64,Tamil Nadu,1.08
1181.8,26.5,20.5,32.9,6.04,178.2,80.0,1.0,285.0,Canal,Kharif,Swarna,West Bengal,9.56
1355.1,26.6,21.0,31.8,6.31,130.8,75.7,29.9,369.6,Rainfed,Kharif,Swarna,West Bengal,7.92
33.2,35.8,30.2,42.1,4.87,129.2,79.7,28.1,227.0,Borewell,Kharif,MTU1010,Punjab,0.51
1024.2,20.7,15.8,30.6,4.76,137.0,68.2,0.1,213.8,Rainfed,Rabi,Basmati,Punjab,5.03
453.0,37.8,32.4,46.1,4.61,111.6,85.7,114.7,228.5,Rainfed,Kharif,MTU1010,Tamil Nadu,4.72
1290.3,32.0,25.8,37.8,5.4,105.5,93.1,80.6,351.8,Rainfed,Kharif,Swarna,Punjab,6.96
348.7,32.3,24.6,39.9,7.73,81.7,94.6,63.4,320.0,Borewell,Kharif,Swarna,Andhra Pradesh,4.75
1381.9,20.7,14.7,26.2,5.86,79.9,102.4,16.6,320.7,Borewell,Kharif,IR64,Punjab,8.76
773.5,30.9,23.6,38.6,7.17,156.8,38.0,53.4,42.6,Rainfed,Kharif,IR64,Andhra Pradesh,7.13
1873.5,28.7,21.4,38.1,5.17,70.8,89.5,75.3,303.9,Rainfed,Kharif,Swarna,West Bengal,8.03
275.0,21.9,16.3,29.2,4.73,151.3,113.6,159.7,307.3,Rainfed,Rabi,Swarna,Punjab,5.91
682.1,25.0,20.3,33.4,6.44,150.8,44.1,81.7,52.9,Borewell,Rabi,IR64,Punjab,7.06
226.9,36.0,29.8,42.7,7.38,138.8,93.3,3.1,188.6,Rainfed,Kharif,IR64,Tamil Nadu,1.2
1849.4,29.9,24.7,37.0,7.64,6.8,35.0,33.2,39.2,Rainfed,Kharif,Swarna,Tamil Nadu,1.16
1754.7,27.4,24.0,35.6,6.41,26.6,21.1,56.7,158.8,Rainfed,Kharif,IR64,Tamil Nadu,7.18
515.9,21.3,16.4,30.2,5.53,56.6,53.6,72.9,256.4,Rainfed,Rabi,MTU1010,West Bengal,5.16
1320.0,32.9,24.9,40.8,4.88,152.6,96.8,107.9,87.3,Canal,Kharif,MTU1010,Punjab,6.99
1634.4,32.7,29.4,42.5,6.84,157.2,36.9,94.5,52.9,Borewell,Kharif,Swarna,Punjab,8.41
1110.4,31.1,24.6,40.0,5.48,7.5,35.4,81.5,255.3,Canal,Kharif,Basmati,Punjab,5.68
1059.3,29.2,22.0,37.8,7.45,58.5,33.3,134.1,330.7,Rainfed,Rabi,Basmati,Tamil Nadu,7.75
483.7,27.8,21.6,36.9,6.62,153.1,26.2,31.4,61.7,Rainfed,Rabi,Basmati,Andhra Pradesh,5.61
186.2,30.7,24.8,36.4,7.51,44.9,73.3,12.5,361.7,Rainfed,Rabi,MTU1010,Tamil Nadu,0.55
1794.4,24.2,17.7,30.8,6.48,175.7,29.2,134.1,294.8,Borewell,Rabi,Swarna,Punjab,11.85
1800.8,36.9,31.8,44.3,7.2,88.1,112.2,73.9,271.2,Rainfed,Kharif,Swarna,West Bengal,8.53
1266.2,30.6,27.1,37.4,5.53,168.7,41.5,88.5,48.4,Rainfed,Rabi,IR64,Punjab,9.03
678.1,25.6,17.8,34.7,6.26,77.2,65.1,134.0,371.9,Rainfed,Rabi,MTU1010,Andhra Pradesh,7.11
698.4,28.1,22.9,32.3,4.57,58.3,49.1,151.3,189.4,Canal,Kharif,IR64,Tamil Nadu,5.8
1451.9,34.5,28.2,39.8,6.63,65.2,115.5,88.3,214.2,Rainfed,Kharif,Swarna,Punjab,9.22
1794.2,22.9,17.3,32.2,6.37,159.2,50.9,130.0,205.1,Canal,Kharif,MTU1010,West Bengal,12.08
1774.2,25.3,22.0,29.6,7.14,59.5,67.6,87.2,212.4,Borewell,Rabi,IR64,Punjab,9.29
1559.8,32.2,24.5,37.6,7.05,120.5,91.6,5.3,329.1,Rainfed,Rabi,Swarna,West Bengal,8.01
1284.1,25.7,18.7,31.8,6.7,84.6,20.6,152.9,39.5,Rainfed,Rabi,Swarna,Punjab,1.04
168.3,34.3,30.5,42.8,4.7,169.5,3.9,130.8,193.5,Canal,Kharif,MTU1010,West Bengal,1.02
323.3,22.3,14.4,29.7,7.66,28.7,54.6,120.5,245.6,Rainfed,Kharif,Basmati,Punjab,4.02
1797.1,33.7,27.0,43.5,4.56,77.2,66.1,70.7,47.1,Canal,Rabi,MTU1010,Tamil Nadu,5.77
1212.9,21.2,15.9,26.6,7.31,22.4,34.4,150.8,232.4,Borewell,Kharif,Swarna,Punjab,8.3
18.4,20.2,14.2,29.5,6.18,104.1,55.5,78.4,203.7,Canal,Rabi,MTU1010,Andhra Pradesh,1.15
202.9,36.2,32.6,41.9,7.36,72.5,73.8,115.3,89.1,Rainfed,Rabi,IR64,Andhra Pradesh,0.94
1327.0,30.5,24.7,35.9,6.13,11.0,116.8,16.1,102.9,Borewell,Kharif,MTU1010,West Bengal,7.13
10.1,26.3,23.0,33.3,6.76,153.0,72.2,35.0,34.5,Canal,Kharif,Basmati,Andhra Pradesh,0.17
321.6,24.2,18.5,28.6,5.77,67.6,53.9,67.9,282.2,Canal,Kharif,Basmati,Andhra Pradesh,5.57
1097.5,31.1,25.3,37.4,7.1,88.9,2.7,93.0,59.3,Borewell,Kharif,Basmati,Tamil Nadu,6.75
1383.8,29.2,21.8,35.3,5.39,73.4,37.3,128.9,315.6,Canal,Kharif,Basmati,Tamil Nadu,7.01
1303.9,37.8,31.2,42.8,7.02,88.0,43.0,38.5,355.9,Canal,Kharif,MTU1010,Tamil Nadu,6.21
448.5,37.7,33.5,46.9,5.18,2.9,57.2,123.9,96.4,Rainfed,Rabi,Swarna,Tamil Nadu,2.13
1424.4,31.4,24.0,37.7,7.03,146.8,93.9,142.4,104.1,Rainfed,Kharif,MTU1010,Punjab,9.75
474.5,28.0,22.1,37.9,5.53,59.8,93.1,131.0,49.2,Canal,Rabi,MTU1010,Tamil Nadu,6.5
650.8,28.8,22.8,38.2,5.48,130.4,101.4,99.6,216.4,Canal,Rabi,Swarna,Tamil Nadu,6.0
1493.0,32.3,28.4,37.5,7.34,11.7,34.8,129.6,385.7,Canal,Kharif,IR64,West Bengal,9.11
